iter,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y
0,8.23,8.84,1.02,8.99,3.67,1.21,4.48,1.38
1,9.85,9.69,-10.04,10.12,-7.85,-10.10,10.81,-9.60
2,9.81,9.64,-10.04,10.12,-9.88,-9.93,10.09,-10.00
3,9.81,9.64,-10.04,10.12,-9.88,-9.93,10.09,-10.00

iter,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y
0,2.20,1.14,4.59,4.94,3.59,6.13,6.14,8.04
1,-0.94,-8.42,6.24,5.48,-9.82,11.12,9.96,9.82
2,-0.71,-10.24,9.49,1.15,-10.04,10.12,10.34,10.18
3,-3.38,-10.50,11.58,-5.89,-10.04,10.12,9.89,10.08
4,-9.43,-10.05,10.23,-9.87,-10.04,10.12,9.81,9.64
5,-9.88,-9.93,10.09,-10.00,-10.04,10.12,9.81,9.64
6,-9.88,-9.93,10.09,-10.00,-10.04,10.12,9.81,9.64

iter,c0x,c0y,c1x,c1y,c2x,c2y,c3x,c3y
0,4.71,8.03,0.86,9.05,7.93,6.37,7.26,0.41
1,6.59,11.99,-10.37,7.59,11.25,8.59,1.32,-10.31
2,7.16,12.07,-10.18,9.19,11.41,8.01,0.43,-10.11
3,7.48,12.06,-10.04,10.12,11.52,7.53,-0.04,-10.01
4,7.92,12.23,-10.04,10.12,11.58,5.94,-0.46,-10.14
5,8.61,12.17,-10.04,10.12,11.41,4.52,-0.71,-10.24
6,8.96,11.85,-10.04,10.12,11.43,2.59,-1.19,-10.35
7,9.14,11.09,-10.04,10.12,12.04,-1.98,-2.89,-10.44
8,9.70,9.73,-10.04,10.12,11.29,-9.14,-6.84,-10.25
9,9.81,9.64,-10.04,10.12,10.09,-10.00,-9.88,-9.93
10,9.81,9.64,-10.04,10.12,10.09,-10.00,-9.88,-9.93
